@relation CorrelationTest

@attribute 'fulfill via' {'From RDC','Direct Drop'}
@attribute 'vendor inco term' {'N/A - From RDC',EXW,CIP,FCA,DDP,DAP,DDU}
@attribute 'shipment mode' {Truck,Air,Ocean,'Air Charter'}
@attribute 'po sent to vendor date' {'N/A - From RDC',11/13/09,2/20/15,2/28/08,9/14/11,8/26/08,10/27/10,5/2/11,10/2/08,6/30/14,2/28/14,5/9/13,3/2/11,8/21/08,9/30/09,9/16/10,10/10/12,3/17/08,8/3/11,12/6/12,8/5/13,2/26/13,2/27/13,12/10/07,11/18/14,9/12/12,2/12/14,6/20/12,4/28/08,2/15/12,8/21/12,8/22/12,4/7/08,7/16/12,5/20/14,6/12/08,7/18/08,8/7/13,3/13/15,3/11/08,2/26/14,12/29/11,7/10/13,5/5/11,5/18/11,1/11/13,10/5/09,10/4/12,7/26/12,3/20/14,8/10/12,8/12/13,5/14/09,6/2/14,8/18/09,7/7/09,3/31/09,6/21/07,2/2/11,10/16/12,4/9/09,5/18/09,12/2/09,6/25/15,8/10/10,7/9/14,9/11/13,4/20/09,8/14/14,1/17/12,5/22/13,10/29/14,3/16/15,8/28/14,2/3/14,12/4/13,11/21/12,8/28/07,2/5/10,4/2/09,8/1/11,1/27/12,3/3/08,10/22/08,8/6/13,1/27/09,3/24/10,1/17/13,5/23/08,3/17/15,9/3/09,11/5/14,7/9/09,10/23/09,1/7/08,6/4/09,7/31/12,1/23/12,1/14/09,10/7/10,8/18/11,10/5/11,5/21/13,8/30/11,4/20/11,10/22/09,7/31/08,6/13/12,11/16/11,2/25/11,3/13/08,10/27/08,9/4/13,6/20/08,6/18/14,4/24/12,6/21/10,8/13/12,11/21/13,5/27/09,5/23/11,1/12/10,5/13/08,1/15/13,12/4/14,7/20/11,9/21/11,11/19/07,11/16/07,6/5/12,5/12/15,6/14/12,4/30/09,1/3/08,10/18/07,5/29/13,4/4/09,4/29/14,2/27/14,4/3/14,8/12/11,7/18/11,4/11/13,6/2/09,3/11/09,4/19/06,4/9/12,11/19/14,8/2/12,9/15/11,8/27/14,8/4/11,12/26/12,3/28/12,2/26/08,8/23/10,5/26/15,1/28/14,9/4/14,2/12/13,3/25/09,7/6/07,8/13/14,2/6/12,6/23/14,4/21/11,4/20/15,8/31/09,11/6/12,11/14/08,10/15/13,8/27/08,6/7/10,8/29/08,2/29/08,7/21/10,12/22/09,2/18/09,12/18/14,7/30/10,9/2/10,5/8/13,8/29/11,10/16/14,7/30/14,3/19/12,9/22/11,1/23/13,6/13/11,5/20/08,11/1/13,1/29/08,9/17/08,10/24/08,11/30/07,2/17/12,12/2/08,9/25/14,7/1/14,4/1/13,5/19/14,12/8/14,6/6/09,7/17/15,12/11/08,12/16/14,5/6/14,8/22/08,4/5/12,1/8/10,11/13/13,12/14/06,3/19/14,6/1/10,7/26/07,2/1/12,1/2/13,9/18/08,11/22/10,1/25/07,3/1/07,4/15/09,9/24/10,8/11/09,7/2/12,9/7/11,5/22/15,3/5/14,10/29/09,7/9/12,12/9/10,2/17/10,3/30/11,10/14/08,5/31/11,7/28/08,8/24/11,5/27/10,9/19/14,2/25/08,10/22/14,1/26/09,10/22/12,1/26/15,8/27/10,1/30/14,5/7/12,4/18/11,2/19/14,1/12/12,1/9/12,10/23/07,4/27/09,2/14/13,9/29/09,12/28/06,3/31/11,5/3/12,5/13/07,3/27/12,9/19/11,11/12/13,1/5/08,1/22/14,10/6/10,9/24/08,1/5/09,12/29/06,12/12/12,8/15/11,7/2/09,8/7/09,1/21/10,8/28/11,2/24/09,11/24/10,3/23/11,6/8/10,9/11/09,6/4/13,3/21/12,2/6/08,2/3/12,2/25/13,12/7/10,10/7/09,5/15/12,6/30/08,9/3/08,10/9/14,6/17/10,8/19/13,8/29/14,11/9/09,12/1/10,6/13/13,8/12/09,1/7/15,6/2/15,2/10/10,3/19/10,2/17/15,12/13/11,6/28/13,2/11/13,3/28/11,12/23/09,3/4/15,12/2/13,3/25/10,11/18/11,8/13/13,4/30/14,8/24/15,9/10/13,5/18/12,11/19/09,12/10/14,7/3/13,6/28/12,5/12/11,5/8/14,9/22/09,6/12/12,11/28/14,2/8/11,7/1/08,3/24/11,4/23/14,10/4/11,11/11/09,1/13/12,10/10/13,5/21/14,11/14/14,8/11/14,3/9/15,10/18/10,12/24/14,12/14/10,7/21/09,7/15/09,7/4/07,11/21/07,10/3/11,4/4/12,1/22/13,3/29/10,11/2/09,4/3/12,10/3/07,5/10/13,2/9/10,5/5/14,4/14/11,1/16/09,8/23/13,5/13/15,5/26/14,10/3/14,10/15/09,10/11/11,8/14/12,6/24/10,10/28/13,1/15/10,3/4/09,9/14/09,4/28/15,5/23/14,3/14/14,9/24/12,4/10/08,7/17/09,11/11/11,3/31/14,6/26/09,11/5/09,3/27/09,2/12/15,2/5/13,9/30/11,3/31/08,3/18/10,3/21/14,7/31/13,3/10/14,3/31/10,10/15/10,6/25/14,11/29/06,5/13/09,6/16/10,11/14/06,4/29/09,6/11/13,4/4/08,11/7/12,4/17/12,1/30/15,9/28/10,1/16/14,8/25/10,8/9/12,3/22/13,3/5/10,5/7/15,2/20/08,10/21/08,5/27/14,1/4/08,12/17/13,12/15/14,12/6/07,1/25/10,5/15/13,11/3/08,7/24/08,1/21/08,7/8/14,1/20/10,5/15/08,8/27/13,5/30/14,9/27/10,1/25/12,4/25/13,4/21/10,8/19/14,10/25/13,12/6/10,3/25/11,8/6/14,4/29/11,11/12/07,9/21/10,2/23/15,7/31/14,7/12/12,7/28/15,2/5/09,4/1/11,8/5/14,11/23/09,9/9/13,9/29/10,9/17/10,10/8/12,7/3/12,5/27/11,5/7/07,10/16/13,10/10/11,6/24/13,1/24/12,12/2/06,3/26/13,10/12/12,12/5/07,7/13/09,1/9/07,11/15/06,2/10/14,11/26/09,8/11/10,11/4/14,7/16/09,5/28/14,3/26/10,4/11/14,10/14/10,6/8/12,10/7/13,9/23/08,7/8/11,5/1/13,7/25/13,11/28/13,6/5/09,7/3/08,2/15/11,8/15/12,3/19/15,7/16/13,10/30/14,2/9/11,3/8/12,2/6/13,11/17/06,5/11/15,11/4/13,7/1/10,11/2/11,3/7/14,4/4/11,10/31/12,3/6/09,12/19/14,9/26/12,9/2/13,4/16/12,2/1/11,11/17/09,6/23/09,1/7/10,5/16/14,8/3/09,11/9/11,4/29/10,11/4/10,3/2/15,10/22/13,10/24/13,7/1/13,8/25/14,10/30/13,11/25/14,12/31/14,1/16/12,2/4/14,4/15/14,5/14/08,2/14/14,11/1/11,11/22/07,2/6/15,11/2/10,10/25/12,3/3/14,6/22/11,6/29/09,12/30/08,7/11/12,2/13/13,4/17/15,1/11/10,6/11/12,1/29/10,11/18/10,12/8/09,7/30/13,9/19/13,3/7/10,4/23/10,3/13/09,12/27/13,4/15/10,3/12/10,3/11/13,9/12/14,7/7/11,4/24/09,8/2/13,1/21/11,6/3/14,5/17/13,5/27/15,4/14/14,3/19/09,2/24/12,6/13/08,9/10/10,3/30/09,5/26/11,8/4/14,2/9/15,7/25/08,11/19/08,5/1/12,7/15/08,6/10/08,12/30/11,6/26/14,7/18/12,2/15/08,3/28/13,5/23/13,3/6/13,11/15/14,1/24/08,7/3/07,8/19/09,6/1/12,5/29/15,11/24/09,1/18/12,5/1/14,7/30/12,5/15/14,11/10/10,6/12/13,9/17/13,1/7/11,2/24/15,5/8/09,1/25/11,7/17/12,7/17/07,11/19/10,5/5/10,10/8/13,11/17/14,11/9/12,2/12/10,8/9/13,6/19/14,11/6/09,8/2/10,7/18/14,3/17/13,3/18/09,6/20/14,8/20/14,2/4/13,8/26/14,1/3/13,3/9/12,7/10/15,12/14/09,5/7/14,2/7/13,12/5/06,8/4/15,3/14/12,11/12/14,3/8/13,7/23/08,7/11/14,2/8/13,3/14/13,5/19/11,11/4/08,7/14/15,10/31/13}
@attribute brand {Generic,Uni-Gold,Determine,Stat-Pak,Bioline,OraQuick,Capillus,Genie,LAV,Multispot,'Colloidal Gold',Clearview,Reveal,'First Response',Hexagon,DoubleCheck,InstantCHEK,Coartem,Aluvia,Truvada,Crixivan,Norvir,Isentress,Zerit,Invirase,Viramune,'Videx EC',Prezista,Intelence,Viread,Retrovir,Trizivir,Combivir,Epivir,Ziagen,Kaletra,Atripla,Viracept,Stocrin/Sustiva,Paramax,Videx,Reyataz}
@attribute dosage {300mg,20/120mg,50+153mg,150mg,200mg,150/300/200mg,200/50mg,300/300mg,600/300mg,300/200mg,150/300mg,250mg,600mg,30mg,400mg,100mg,15mg,600/300/300mg,200/300mg,150/200/30mg,40mg,150/30mg,600/200/300mg,20mg,150/300mg+600mg,300/150/300mg,300/100mg,500mg,150/200/40mg,133.3/33.3mg,150/300+200mg,500/25mg,10mg/ml,50mg,80/20mg/ml,100/25mg,60/12mg,20mg/ml,30mg/ml,30/50/60mg,30/60mg,60/30mg,30/50/6mg,25mg,30/6mg,80mg/ml,1mg/ml,60mg,50mg/g,125mg,60/100/12mg}
@attribute 'dosage form' {'Test kit - Ancillary','Test kit','Tablet - FDC + blister','Tablet - FDC + co-blister',Tablet,'Tablet - FDC','Delayed-release capsules',Capsule,'Delayed-release capsules - blister','Tablet - blister','Oral solution','Chewable/dispersible tablet','Chewable/dispersible tablet - FDC','Oral suspension','Powder for oral solution',Injection,'Oral powder'}
@attribute 'unit of measure (per pack)' numeric
@attribute 'line item quantity' numeric
@attribute 'line item value' numeric
@attribute 'pack price' numeric
@attribute 'unit price' numeric
@attribute 'manufacturing site' {'Inverness Japan','Trinity Biotech Plc','Alere Medical Co. Ltd.','Chembio Diagnostics Sys. Inc.','Standard Diagnostics Korea','Orasure Technologies Inc USA','Bio-Rad Laboratories','KHB Test Kit Facility Shanghai China','ABBVIE GmbH & Co.KG Wiesbaden','Pacific Biotech Thailand','Ranbaxy Fine Chemicals LTD','Not Applicable','Premier Med. Corp Ltd. India','Human Diagnostic','Orasure Technologies Inc','INVERNESS ANY','Inverness USA','EY Laboratories USA','Novartis Pharma Suffern USA','Novartis Pharma AG Switzerland','Ipca Dadra/Nagar Haveli IN','Aurobindo Unit III India','Cipla Goa India','Strides Bangalore India.','Mylan (formerly Matrix) Nashik','ABBVIE Ludwigshafen Germany','Ranbaxy per Shasun Pharma','Aspen-OSD Port Elizabeth SA','Hetero Unit III Hyderabad IN','MSD Haarlem NL','ABBVIE (Abbott) Logis. UK','Macleods Daman Plant INDIA','Aurobindo Unit VII IN','Cipla Kurkumbh India','Ranbaxy Paonta Shahib India','BMS Meymac France','Roche Basel','Boehringer Ing. Koropi GR','Micro labs Verna Goa India','Janssen-Cilag Latina IT','ABBVIE (Abbott) France','Hetero Jadcherla unit 5 IN','Ranbaxy per Shasun Pharma Ltd','Bristol-Myers Squibb Anagni IT','Emcure Plot No.P-2 I.T-B.T. Park Phase II MIDC Hinjwadi Pune India','GSK Ware (UK)','Gilead(Nycomed) Oranienburg DE','GSK U1 Poznan Poland','GSK Aranda','GSK Cape Town Factory (South Africa)','Cipla Patalganga India','Janssen Ortho LLC Puerto Rico','BI Ingelheim Germany','Cipla Ltd A-42 MIDC Mahar. IN','MSD Elkton USA','Mylan  H-12 & H-13 India','ABBVIE (Abbott) St. P burg USA',ABBSP,'Roche Madrid','MSD Midrand J burg SA','Guilin OSD site No 17 China','Micro Labs Hosur India','Meditab (for Cipla) Daman IN','Micro Labs Ltd. (Brown & Burk) India','Weifa A.S. Hausmanngt. 6 P.O. Box 9113 GrÃ¸nland 0133 Oslo Norway','ABBVIE Labs North Chicago US','GSK Mississauga (Canada)','MSD Manati Puerto Rico (USA)','GSK Barnard Castle UK','BMS Evansville US','GSK Crawley','Boehringer Ingelheim Roxane US'}
@attribute 'first line designation' {True,False}
@attribute 'weight (kilograms)' numeric
@attribute 'line item insurance (usd)' numeric
@attribute 'sub classification' {'HIV test - Ancillary','HIV test',ACT,Adult,Malaria,Pediatric}

@data
'Direct Drop',EXW,Air,8/27/08,Genie,300mg,'Test kit',39.039039,0.804841,6.384419,56.478702,7.96145,'Bio-Rad Laboratories',True,0.655505,7.887458,'HIV test'
'From RDC','N/A - From RDC',Truck,'N/A - From RDC',Generic,150/200/30mg,'Tablet - FDC',59.059059,2.483879,1.675115,4.808121,0.460926,'Strides Bangalore India.',False,22.687245,2.534884,Adult
'From RDC','N/A - From RDC',Air,'N/A - From RDC',Uni-Gold,300mg,'Test kit',19.019019,3.954851,13.188193,23.780506,6.704379,'Trinity Biotech Plc',True,0.957597,16.292531,'HIV test'
'Direct Drop',EXW,Air,5/11/15,Generic,600mg,Tablet,29.029029,8.062929,2.772182,2.452365,0.460926,'Aurobindo Unit III India',True,1.519792,2.519316,Adult
'From RDC','N/A - From RDC',Air,'N/A - From RDC',Generic,300mg,Tablet,59.059059,13.306495,38.163709,20.458667,1.927509,'Aurobindo Unit III India',True,0.958764,47.148321,Adult
'From RDC','N/A - From RDC',Air,'N/A - From RDC',Generic,300mg,Tablet,59.059059,0.079033,0.066364,5.870812,0.544731,'Aurobindo Unit III India',True,0.003499,0.099891,Adult
'From RDC','N/A - From RDC',Air,'N/A - From RDC',Generic,200mg,Tablet,89.089089,0.501615,0.382662,5.424928,0.335219,'Strides Bangalore India.',False,0.884116,0.365833,Pediatric
'From RDC','N/A - From RDC',Air,'N/A - From RDC',Aluvia,200/50mg,Tablet,119.119119,1.588715,13.617159,61.086175,2.849361,'ABBVIE Ludwigshafen Germany',False,0.468884,16.823119,Adult
'Direct Drop',CIP,Air,3/19/09,'Videx EC',250mg,'Delayed-release capsules - blister',29.029029,0.095162,0.184879,13.629202,2.556044,'BMS Meymac France',True,3.499138,0.280212,Adult
'Direct Drop',FCA,Air,11/11/11,Norvir,100mg,Tablet,59.059059,0.175807,0.126596,5.090515,0.460926,'ABBVIE Ludwigshafen Germany',True,0.050154,0.160863,Adult
'From RDC','N/A - From RDC',Truck,'N/A - From RDC',Generic,150mg,Tablet,59.059059,0.708067,0.128629,1.293065,0.125707,'Micro labs Verna Goa India',True,0.031492,0.102485,Adult
'From RDC','N/A - From RDC',Air,'N/A - From RDC',Kaletra,80/20mg/ml,'Oral solution',299.299299,0.235485,1.015072,30.543087,0.586633,'ABBVIE (Abbott) Logis. UK',False,0.63801,1.254469,Pediatric
'Direct Drop',EXW,Air,12/27/13,Generic,300mg,Tablet,59.059059,101.9342,58.400632,4.087274,0.377121,'Hetero Unit III Hyderabad IN',True,4.673682,46.355683,Adult
'From RDC','N/A - From RDC','Air Charter','N/A - From RDC',Generic,150/300/200mg,'Tablet - FDC',59.059059,143.539173,115.430529,5.737047,0.544731,'Cipla Goa India',False,48.87596,91.624246,Adult
'From RDC','N/A - From RDC',Air,'N/A - From RDC',Generic,150/300mg,'Tablet - FDC',59.059059,1.224197,1.206655,7.022681,0.670438,'Aurobindo Unit III India',True,0.232109,1.490574,Adult
'Direct Drop',DDP,Ocean,3/30/11,Ziagen,20mg/ml,'Oral solution',239.239239,3.617754,3.498715,6.896347,0.167609,'GSK Mississauga (Canada)',True,1.01475,4.457452,Pediatric
'From RDC','N/A - From RDC',Truck,'N/A - From RDC',Generic,60/30mg,'Tablet - FDC',59.059059,75.761535,31.567927,2.972563,0.293317,'Aurobindo Unit III India',True,3.77557,25.056951,Pediatric
'Direct Drop',EXW,Air,9/3/08,Generic,50+153mg,'Tablet - FDC + co-blister',23.023023,40.321098,2.940193,0.520199,0.125707,'Ipca Dadra/Nagar Haveli IN',True,0.739485,4.449668,ACT
'From RDC','N/A - From RDC',Air,'N/A - From RDC',Generic,600mg,Tablet,29.029029,30.256549,37.854161,8.925121,1.676095,'Mylan (formerly Matrix) Nashik',False,2.526378,46.765623,Adult
'Direct Drop',EXW,Air,11/6/12,Determine,300mg,'Test kit',99.099099,2.953235,24.623696,59.451265,3.352189,'Alere Medical Co. Ltd.',True,0.966928,23.518377,'HIV test'
'Direct Drop',EXW,Air,10/27/08,'Colloidal Gold',300mg,'Test kit',0,5.595179,13.40896,17.092239,96.375445,'KHB Test Kit Facility Shanghai China',True,2.926446,20.293341,'HIV test'
'From RDC','N/A - From RDC',Truck,'N/A - From RDC',Generic,125mg,'Delayed-release capsules',29.029029,0.167742,0.14995,6.316697,1.173266,'Aurobindo Unit III India',True,0.011664,0.249078,Pediatric
'Direct Drop',EXW,Air,6/13/12,'Colloidal Gold',300mg,'Test kit',0,0.966132,2.469762,18.20695,102.6608,'KHB Test Kit Facility Shanghai China',True,0.506209,2.673693,'HIV test'
'From RDC','N/A - From RDC',Air,'N/A - From RDC',Generic,300mg,Tablet,59.059059,0.335485,0.286182,6.056598,0.586633,'Ranbaxy Paonta Shahib India',True,0.013997,0.354157,Adult
'Direct Drop',EXW,Air,5/13/15,Generic,600/300/300mg,'Tablet - FDC',29.029029,24.65008,24.394865,7.059838,1.340876,'Hetero Unit III Hyderabad IN',False,1.519792,22.170504,Adult
'From RDC','N/A - From RDC',Truck,'N/A - From RDC',Generic,200mg,Tablet,59.059059,46.984023,11.061184,1.679498,0.167609,'Hetero Unit III Hyderabad IN',False,10.048358,11.973888,Adult
'Direct Drop',DDP,Ocean,3/23/11,Generic,600mg,Tablet,29.029029,149.192417,73.198203,3.500193,0.670438,'Hetero Unit III Hyderabad IN',True,9.188737,93.256223,Adult
'From RDC','N/A - From RDC',Truck,'N/A - From RDC',Generic,150/300mg,'Tablet - FDC',59.059059,5.393566,4.372336,5.781636,0.544731,'Mylan (formerly Matrix) Nashik',True,8.275461,5.570518,Adult
'Direct Drop',DDP,Truck,4/2/09,Generic,10mg/ml,'Oral solution',239.239239,0.320969,0.202957,4.48857,0.125707,'Aurobindo Unit III India',False,1.519792,0.307455,Pediatric
'From RDC','N/A - From RDC',Truck,'N/A - From RDC',Generic,20mg/ml,'Oral solution',239.239239,1.288714,1.142475,6.316697,0.167609,'Aurobindo Unit III India',True,0.346415,0.906798,Pediatric
'From RDC','N/A - From RDC','Air Charter','N/A - From RDC',Generic,150/300/200mg,'Tablet - FDC',59.059059,285.942858,229.946641,5.737047,0.544731,'Mylan (formerly Matrix) Nashik',True,48.87596,182.522015,Adult
'From RDC','N/A - From RDC',Truck,'N/A - From RDC',Generic,300mg,Tablet,59.059059,16.762957,12.259072,5.216848,0.502828,'Hetero Unit III Hyderabad IN',True,17.419876,20.407501,Adult
'Direct Drop',EXW,Air,10/29/14,Determine,300mg,'Test kit',99.099099,5.120984,47.490668,66.139532,3.729311,'Alere Medical Co. Ltd.',True,1.502297,37.696343,'HIV test'
'Direct Drop',EXW,Air,10/4/11,Generic,300mg,Tablet,59.059059,0.624196,0.941971,10.738385,1.005657,'Aurobindo Unit III India',False,11.908733,1.199983,Adult
'From RDC','N/A - From RDC',Truck,'N/A - From RDC',Generic,150mg,Tablet,59.059059,6.530666,1.585436,1.731518,0.167609,'Aurobindo Unit III India',True,0.227444,2.019864,Adult
'From RDC','N/A - From RDC',Air,'N/A - From RDC',Generic,300mg,Tablet,59.059059,11.045197,15.131804,9.772302,0.921852,'Aurobindo Unit III India',True,1.026414,16.380746,Adult
'From RDC','N/A - From RDC',Truck,'N/A - From RDC',Generic,600/300/300mg,'Tablet - FDC',29.029029,8.30164,8.303239,7.134152,1.340876,'Aurobindo Unit VII IN',True,14.088696,6.590179,Adult
'From RDC','N/A - From RDC',Air,'N/A - From RDC',Generic,200mg,Tablet,59.059059,8.480673,2.65071,2.229422,0.209512,'Hetero Unit III Hyderabad IN',True,0.342916,4.011188,Adult
'From RDC','N/A - From RDC',Air,'N/A - From RDC',Generic,10mg/ml,'Oral suspension',239.239239,7.19841,1.440002,1.42683,0.041902,'Aurobindo Unit III India',True,1.930358,2.179429,Pediatric
'From RDC','N/A - From RDC',Air,'N/A - From RDC',Viread,300mg,Tablet,29.029029,1.908071,3.381726,12.633394,2.388435,'Gilead(Nycomed) Oranienburg DE',True,0.057153,4.177239,Adult
'From RDC','N/A - From RDC',Air,'N/A - From RDC',Aluvia,200/50mg,Tablet,119.119119,19.740386,84.520298,30.543087,1.42468,'ABBVIE (Abbott) Logis. UK',True,3.104902,104.418015,Adult
'From RDC','N/A - From RDC',Air,'N/A - From RDC',Generic,150mg,Tablet,59.059059,2.601621,0.631826,1.731518,0.167609,'Macleods Daman Plant INDIA',False,1.657425,0.683666,Adult
'Direct Drop',EXW,Air,2/6/15,Generic,600/200/300mg,'Tablet - FDC',29.029029,51.792103,56.271623,7.750959,1.466583,'Hetero Jadcherla unit 5 IN',True,4.652687,51.140049,Adult
'Direct Drop',DDP,Truck,5/11/15,Isentress,400mg,Tablet,59.059059,0.008065,0.061658,45.450492,4.274041,'MSD Haarlem NL',False,1.519792,0.049297,Adult
'From RDC','N/A - From RDC',Air,'N/A - From RDC',Generic,600mg,Tablet,29.029029,0.796777,1.351439,12.076038,2.262728,'Aurobindo Unit III India',False,1.060239,31.149964,Adult
'From RDC','N/A - From RDC',Air,'N/A - From RDC',Generic,300/300mg,'Tablet - FDC',29.029029,2.332266,1.142626,3.492762,0.670438,'Aurobindo Unit VII IN',True,0.690497,0.906798,Adult
'From RDC','N/A - From RDC',Air,'N/A - From RDC',Generic,300mg,Tablet,59.059059,0.562905,0.773271,9.772302,0.921852,'Mylan (formerly Matrix) Nashik',True,0.04199,0.836745,Adult
'From RDC','N/A - From RDC',Truck,'N/A - From RDC',Generic,600mg,Tablet,29.029029,10.308098,4.660841,3.225231,0.586633,'Hetero Unit III Hyderabad IN',True,0.628678,7.759028,Adult
'Direct Drop',EXW,Air,'N/A - From RDC',Bioline,300mg,'Test kit',24.024024,16.127471,33.602205,14.862816,3.352189,'Standard Diagnostics Korea',True,3.889875,41.512939,'HIV test'
'Direct Drop',EXW,Air,3/31/09,Determine,300mg,'Test kit',99.099099,0.683873,6.426422,66.882673,3.771213,'Inverness Japan',True,0.151629,9.725703,'HIV test'
'Direct Drop',DDP,Truck,9/19/13,Generic,600mg,Tablet,29.029029,4.030658,6.32937,11.199132,2.095118,'Hetero Unit III Hyderabad IN',True,1.519792,6.045322,Adult
'From RDC','N/A - From RDC',Truck,'N/A - From RDC',Generic,200mg,Tablet,59.059059,0.85968,0.231472,1.917303,0.167609,'Strides Bangalore India.',True,0.034991,0.294482,Adult
'From RDC','N/A - From RDC','Air Charter','N/A - From RDC',Generic,150/300/200mg,'Tablet - FDC',59.059059,134.353659,115.601329,6.138343,0.586633,'Hetero Unit III Hyderabad IN',False,70.89137,110.415337,Adult
'From RDC','N/A - From RDC','Air Charter','N/A - From RDC',Generic,200mg,Tablet,59.059059,153.224688,36.071967,1.679498,0.167609,'Cipla Goa India',True,14.796688,34.453145,Adult
'Direct Drop',FCA,Air,12/6/07,Aluvia,200/50mg,Tablet,119.119119,3.224204,27.621012,61.086175,2.849361,'ABBVIE Ludwigshafen Germany',True,0.598353,34.123636,Adult
'From RDC','N/A - From RDC',Air,'N/A - From RDC',Generic,200mg,Capsule,89.089089,4.108078,3.536041,6.138343,0.377121,'Aurobindo Unit III India',True,0.43156,3.828271,Pediatric
'Direct Drop',EXW,Air,7/8/11,Generic,600mg,Tablet,29.029029,34.104949,14.566321,3.046877,0.586633,'Strides Bangalore India.',True,1.51746,18.557581,Adult
'Direct Drop',EXW,Air,2/28/14,Determine,300mg,'Test kit - Ancillary',0,0.367743,0.192373,3.715704,20.951184,'Alere Medical Co. Ltd.',False,1.519792,0.153079,'HIV test - Ancillary'
'From RDC','N/A - From RDC',Truck,'N/A - From RDC',Kaletra,80/20mg/ml,'Oral solution',299.299299,1.706457,0.001779,0.007431,0,'ABBVIE (Abbott) Logis. UK',True,1.519792,0.002595,Pediatric
'Direct Drop',DDP,Ocean,9/24/10,Generic,600mg,Tablet,29.029029,174.400563,82.295894,3.366428,0.628536,'Aurobindo Unit III India',True,10.824,137.000483,Adult
'From RDC','N/A - From RDC',Air,'N/A - From RDC',Generic,600/300/300mg,'Tablet - FDC',29.029029,89.192223,90.680254,7.253054,1.382778,'Mylan (formerly Matrix) Nashik',True,7.286372,71.978247,Adult
'From RDC','N/A - From RDC','Air Charter','N/A - From RDC',Generic,200/300mg,'Tablet - FDC',29.029029,13.427463,8.924725,4.741238,0.87995,'Aurobindo Unit III India',False,10.322457,9.660839,Adult
'Direct Drop',EXW,Air,10/27/08,'Colloidal Gold',300mg,'Test kit',0,5.595179,13.40896,17.092239,96.375445,'KHB Test Kit Facility Shanghai China',True,2.926446,20.293341,'HIV test'
'Direct Drop',CIP,Air,5/13/09,Trizivir,300/150/300mg,'Tablet - FDC',59.059059,2.701622,15.12401,39.914093,3.771213,'GSK Ware (UK)',True,0.290428,22.889197,Adult
'Direct Drop',EXW,Air,3/14/13,Generic,60/30mg,'Chewable/dispersible tablet - FDC',59.059059,64.514724,40.322646,4.458845,0.419024,'Cipla Patalganga India',True,4.120818,38.513629,Pediatric
'Direct Drop',EXW,Air,2/17/15,Generic,600/300/300mg,'Tablet - FDC',29.029029,10.991971,11.451631,7.431408,1.382778,'Hetero Unit III Hyderabad IN',True,2.96377,10.406775,Adult
'Direct Drop',EXW,Air,5/15/14,Kaletra,80/20mg/ml,'Oral solution',299.299299,6.117762,19.64571,22.9036,0.419024,'ABBVIE (Abbott) Logis. UK',True,3.833889,15.594595,Pediatric
'Direct Drop',DDP,Ocean,6/17/10,Generic,50mg,Capsule,29.029029,161.28923,39.482591,1.746381,0.335219,'Aurobindo Unit III India',True,6.571381,65.727955,Pediatric
'Direct Drop',DDP,Ocean,9/21/10,Generic,150mg,Tablet,59.059059,299.925161,77.168535,1.835558,0.167609,'Strides Bangalore India.',True,10.519575,128.464384,Adult
'From RDC','N/A - From RDC',Air,'N/A - From RDC',Generic,200mg,Tablet,59.059059,94.643854,33.520215,2.526679,0.251414,'Aurobindo Unit III India',True,6.48157,41.411751,Adult
'From RDC','N/A - From RDC',Air,'N/A - From RDC',Aluvia,200/50mg,Tablet,119.119119,19.388772,40.840933,15.026307,0.71234,'ABBVIE Ludwigshafen Germany',False,22.345496,39.00919,Adult
'From RDC','N/A - From RDC',Truck,'N/A - From RDC',Aluvia,200/50mg,Tablet,119.119119,27.687186,58.319439,15.026307,0.71234,'ABBVIE Ludwigshafen Germany',True,4.137148,55.702581,Adult
'Direct Drop',EXW,Air,4/29/09,Generic,150mg,Tablet,59.059059,9.675838,2.419359,1.783538,0.167609,'Aurobindo Unit III India',False,2.116979,3.660922,Adult
'Direct Drop',CIP,Air,9/17/10,Generic,200mg,Tablet,59.059059,101.080971,27.797666,1.961892,0.167609,'Hetero Unit III Hyderabad IN',True,4.275947,46.275252,Adult
'Direct Drop',EXW,Air,5/1/14,Generic,10mg/ml,'Oral solution',239.239239,1.39194,0.283065,1.449125,0.041902,'Cipla Goa India',True,1.519792,0.224429,Pediatric
'From RDC','N/A - From RDC',Truck,'N/A - From RDC',Generic,600mg,Tablet,29.029029,0.40484,0.150726,2.645581,0.502828,'Emcure Plot No.P-2 I.T-B.T. Park Phase II MIDC Hinjwadi Pune India',False,6.711347,0.163457,Adult
'From RDC','N/A - From RDC',Air,'N/A - From RDC',Generic,150/300mg,'Tablet - FDC',59.059059,12.966171,9.45566,5.201986,0.502828,'Hetero Unit III Hyderabad IN',False,1.0824,9.031659,Adult
'Direct Drop',DDP,Ocean,9/21/10,Generic,150mg,Tablet,59.059059,197.971606,50.936777,1.835558,0.167609,'Strides Bangalore India.',True,1.519792,84.796664,Adult
'From RDC','N/A - From RDC',Truck,'N/A - From RDC',Generic,200mg,Tablet,59.059059,83.46156,19.64859,1.679498,0.167609,'Strides Bangalore India.',False,6.910798,15.595892,Adult
'From RDC','N/A - From RDC',Air,'N/A - From RDC',Generic,600mg,Tablet,29.029029,0.029032,0.013152,3.06174,0.586633,'Strides Bangalore India.',False,1.519792,0.01427,Adult
